Invoice ID,Branch,Customer type,Gender,ProductID,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Member,F,PID01,7,26.1415,548.9715,"January 5, 2019",13:08,Ewallet,522.83,4.761904762,26.1415,9.1
123-19-1176,A,Member,M,PID02,8,23.288,489.048,"January 27, 2019",20:33,Ewallet,465.76,4.761904762,23.288,8.4
355-53-5943,A,Member,F,PID03,6,20.652,433.692,"February 25, 2019",14:36,Ewallet,413.04,4.761904762,20.652,5.8
665-32-9167,A,Member,F,PID04,2,3.626,76.146,"January 10, 2019",17:15,Credit card,72.52,4.761904762,3.626,7.2
656-95-9349,A,Member,F,PID05,7,24.1255,506.6355,"March 11, 2019",11:03,Credit card,482.51,4.761904762,24.1255,4.6
549-59-1358,A,Member,M,PID06,3,13.2945,279.1845,"March 2, 2019",17:36,Ewallet,265.89,4.761904762,13.2945,6
227-03-5010,A,Member,F,PID07,8,21.036,441.756,"March 22, 2019",19:20,Credit card,420.72,4.761904762,21.036,8.5
129-29-8530,A,Member,M,PID08,5,15.655,328.755,"March 10, 2019",19:15,Ewallet,313.1,4.761904762,15.655,7
162-48-8011,A,Member,F,PID09,5,11.1475,234.0975,"February 10, 2019",15:10,Cash,222.95,4.761904762,11.1475,8.5
106-35-6779,A,Member,M,PID10,2,4.434,93.114,"March 27, 2019",11:26,Cash,88.68,4.761904762,4.434,5.8
589-02-8023,A,Member,M,PID100,2,8.377,175.917,"January 15, 2019",10:54,Credit card,167.54,4.761904762,8.377,7
706-36-6154,A,Member,M,PID101,9,8.712,182.952,"January 18, 2019",18:43,Ewallet,174.24,4.761904762,8.712,8.7
742-04-5161,A,Member,M,PID102,10,36.39,764.19,"February 3, 2019",17:24,Cash,727.8,4.761904762,36.39,7.3
562-12-5430,A,Member,F,PID103,3,13.2225,277.6725,"January 18, 2019",10:11,Ewallet,264.45,4.761904762,13.2225,7.9
816-72-8853,A,Member,F,PID104,5,6.9825,146.6325,"January 29, 2019",15:48,Cash,139.65,4.761904762,6.9825,5.9
529-56-3981,A,Normal,M,PID104,5,8.64,181.44,"February 17, 2020",11:15,Ewallet,172.8,4.761904762,8.64,9.9
491-38-3499,A,Member,M,PID105,1,2.7725,58.2225,"February 26, 2019",17:46,Credit card,55.45,4.761904762,2.7725,4.9
